,rule_title,rule_text
81,ahead of,"overused, and often jars (“Why else would they hurriedly concoct their own ‘Confucius peace prize’, a day ahead of the ceremony in Oslo?” appeared in a leading article); before (which should have been used in this case) or in advance of are among the alternatives.

The Press Association reported: “Hundreds gathered outside Lichfield Cathedral to witness the arrival of a horse-drawn carriage ahead of Stephen’s body ahead of his funeral”"
82,aide-de-camp,plural aides-de-camp (aide is a noun)
83,aide-memoire,plural aide-memoires (aide is a verb)
84,Aids,"acquired immune deficiency syndrome, but normally no need to spell out.

Do not use such terms as “Aids victims” or someone “suffering from Aids”, language that in the words of one reader is “crass, inaccurate and reinforces stigma”, implying helplessness and inviting pity; “people with Aids” or “living with Aids” are preferable.

Do not use the term “full-blown Aids”. Unesco guidelines state: “This term implies that there are varying stages of Aids ... People have Aids only when they present with an Aids-defining illness”"
85,"airbase, aircraft, aircrew, airdrop, airfield, airlift, airmail, airshow, airspace, airstrike, airstrip, airtime",
86,"air fare, air force, air raid",
87,aircraft carrier,
88,aircraft designations,"usually with hyphens after initials, eg B-52, MiG-23"
89,Air Force One,US president’s jet
90,air hostess,"cabin attendant or flight attendant, please"
91,airports,"cap the name but lc the generic part (if necessary at all), eg Heathrow, Gatwick (no need for “airport”), Liverpool John Lennon airport."
92,air vice-marshal,
93,AKA,also known as
94,akimbo,See arms akimbo
95,al-,"Means “the”. In names it is not capitalised, eg Ahmad al-Saqqaf, and can be dropped after the first mention (Mr Saqqaf). For placenames we drop it altogether. Sometimes it appears as as- or ash- or ad- or ul-: these should be ignored and can be safely rewritten as al-. But some Arabs, including Syrians and Egyptians, prefer to use el- in place of al-. Exceptions: by convention, Allah (al-Lah, literally “the God”) is written as one word and capitalised; and in Saudi royal names, Al Saud is correct (in this case, “al” is actually “aal” and does not mean “the”)."
96,al-Aqsa Martyrs Brigade,
97,al-Aqsa mosque,"not the Aqsa mosque, or the al-Aqsa mosque. Not to be confused in pictures with the nearby Dome of the Rock. The mosque’s dome is silver-grey, whereas the Dome of the Rock, an Islamic shrine, has a large golden dome. Both buildings are located in occupied East Jerusalem, at the holy site known to Muslims as al-Haram al-Sharif, and to Jews as the Temple Mount, also sometimes referred to as al-Aqsa mosque compound"
98,Alastair or Alistair?,"Alastair Campbell (spin doctor) Alastair Cook (cricketer) Alastair Hetherington (late Guardian editor) Alastair Stewart (broadcaster)

Alistair Cooke (late BBC and Guardian journalist) Alistair Darling (politician) Alistair MacLean (late novelist) Alistair McGowan (impressionist)

Aleister Crowley (late satanist)"
99,albinism,"Avoid referring to people with albinism as albinos, instead say “a man with albinism” or “Jane Doe, who has albinism”"
100,"Albright, Madeleine",former US secretary of state
101,"Alcott, Louisa May",(1832-88) American author of Little Women
102,A-levels,
103,"Al Fayed, Mohamed",former owner of Harrods and Fulham FC (Fayed after first mention; Mr Fayed if honorific is needed); the son who died in Paris in 1997 was Dodi Fayed
104,"Alfonsín, Raúl",(1927-2009) president of Argentina from 1983-89
105,alfresco,
106,algae,plural of alga
107,al-Hawl,not al-Hol for the camp in northern Syria
108,"al-Houthi, Abdulmalik",leader of the Houthi movement in Yemen. Call him Houthi at second mention
109,"Ali, Muhammad",was Cassius Clay until 1964
110,alibi,being somewhere else; not synonymous with excuse
111,alice band,"as worn by Alice in Lewis Carroll’s Through the Looking-Glass, and What Alice Found There (1871) and more recently David Beckham"
112,Alice books,"Alice’s Adventures in Wonderland, by Lewis Carroll (Charles Lutwidge Dodgson), was published in 1865; its sequel, which followed six years later, is called Through the Looking-Glass, and What Alice Found There. Note that they are not called “Alice in Wonderland” and “Alice Through the Looking-Glass”"
113,A-list,"etc, but to refer to “C-list celebrities” and its variations has become tedious. An edition of G2 referred to “D-list celebrities” and, less than hilariously, in a separate piece about the same reality TV show, “Z-list celebrities”"
114,Al Jazeera,
115,alkyl nitrite,not nitrate; commonly known as poppers
116,Allah,Arabic for “the God”. Both words refer to the same concept: there is no major difference between God in the Old Testament and Allah in Islam. Therefore it makes sense to talk about “God” in an Islamic context and to use “Allah” in quotations or for literary effect
117,Allahu Akbar,“God is greatest”
118,"Allawi, Ayad",Iraqi politician
119,"Allende, Isabel",Chilean author; her father was a cousin of Salvador Allende
120,"Allende, Salvador","Chilean president, overthrown and killed in 1973"
121,allies,"second world war allies, the allied invasion, etc"
122,all mouth and trousers,not “all mouth and no trousers”
123,all right,"has traditionally been regarded as right, and alright as not all right (although the 1965 Who song, much loved by generations of headline writers and still widely quoted today, was The Kids are Alright).

Kingsley Amis in The King’s English said alright was “gross, crass, coarse and to be avoided” but admitted this was “a rule without a reason”.

Note, however, the difference between “she got the answers all right” and “she got the answers, alright!”"
124,All Souls College,"Oxford, no apostrophe"
125,all together,as one united body: “We are all in it together”
126,altogether,"completely, totally: “That’s an altogether different matter”"
127,“alt-right”,"use once and in quotes at first mention; use far right at any subsequent mentions. Note: far right (noun) and far-right (adjective). More specific descriptions can be used where relevant when mentioning individuals associated with the movement, but such descriptions should be evidence-based."
128,"al-Maliki, Nouri",(not Nuri) became prime minister of Iraq in 2006
129,Almo,arm’s-length management organisation
130,"Almodóvar, Pedro",Spanish film-maker
131,alpha male,
132,al-Qaida,it means “the base”
133,al-Quds,"force of the Iranian Revolutionary Guard Corps; not Quds, Qods"
134,"al-Sadr, Moqtada","creator of the Mahdi army, or as the magazine Red Pepper described it: “Moqtada al-Sadr’s not-so-barmy army”"
135,alsatian,dog
136,Alsatian,person from Alsace
137,al-Shabaab,"Islamist insurgency group in Somalia; it means “the youth”. Singular, not plural"
138,also,often redundant
139,alter ego,"not “altar ego”, as we have been known to spell it"
140,alternative,"normally a choice between two courses of action; if there are more than two, option or choice may be preferred; beware the trend to use “alternate” instead of alternative: in a piece about French politics we wrote “in this juddering alternate reality …”"
141,"alumna (female), alumnus (male)","plural alumni, or alumnae for all-female institutions; in the UK graduate is preferable"
142,"al-Zaidi, Muntazer","Iraqi journalist who served a jail sentence for throwing his shoes at the then US president, George Bush"
143,Alzheimer’s disease,
144,Amazon,normally no need for com or co.uk
145,Amazon Prime,
146,Amazon Prime Video,"for the TV package, although these days it prefers to call itself simply Prime Video"
147,ambassador,"lc, eg the British ambassador to Washington; “ambassador, you are spoiling us” has become a headline cliche"
148,ambience,not ambiance
149,ambiguity,"a common problem in headlines when the subject is omitted from the past tense of a verb, as in this example from the paper:

Westworld extras allegedly asked to participate in ‘graphic sexual situations’

Did they allegedly ask, or were they allegedly asked? A simple “were” before “asked” would have fixed this. Similarly:

Labour warned of financial crash (did someone warn Labour of an impending crash, or did Labour warn someone else?)

Tories paid millions to avoid tax Here not only does the reader have to ask whether the Tories paid millions or were paid millions, but also whether they paid millions of pounds or millions of people, and whether the Tories’ aim was to avoid tax or to enable the millions to avoid tax. This is very poor editing"
150,ambulance services,"These are NHS trusts, so lc for everything that is generic, eg London ambulance service, East of England ambulance service, South East Coast ambulance service"
151,amendments,"to the US constitution like this: fifth amendment, 18th amendment, etc"
152,"America, Americans","the country is generally the United States or US, although its citizens are Americans; we should remember that America includes all of North, Central and South America"
153,“America first”,A phrase denounced by the Anti-Defamation League for its links to 1940s Nazi sympathisers
154,American Civil Liberties Union,not American Civil Rights Union
155,American English,"Follow US spellings for proper nouns, eg Centers for Disease Control and Prevention, Department of Defense, Labor Day, One World Trade Center, Ann Arbor, Pearl Harbor, World Health Organization"
156,American universities,"Take care: “University of X” is not the same as “X University”; most states have two large public universities, eg University of Kentucky and Kentucky State University, University of Illinois and Illinois State University, etc.

Do not call Johns Hopkins University “John Hopkins” or Stanford University “Stamford”"
157,America’s Cup,"sailing trophy named after the schooner America, its first winner"
158,Amhrán na bhFiann,Irish national anthem
159,Amicus,"trade union formed by a merger between the AEEU and MSF, now part of Unite after a further merger with the TGWU"
160,amid,"not amidst.

“James warned, however, that the second half of the year was likely to prove more challenging overall amid a weak consumer backdrop.”

Things fall against a backdrop, not amid one. If something is amid the backdrop, it’s part of it, and thus completely unremarkable . Some cliches make the news sound tired; this one makes the news sound as if it’s not news at all

against

and thus completely unremarkable"
161,amok,not amuck
162,among,not amongst
163,among or between?,"Whatever you may have been told, between is not limited to two parties. It is appropriate when the relationship is essentially reciprocal: fighting between the many peoples of Yugoslavia, treaties between European countries, etc; among belongs to distributive relationships: shared among, etc"
164,amount or number?,"amount refers to a quantity, number to something that can be counted, eg an enormous amount of energy was exerted by a small number of people"
165,ampersand,"Use in company names when the company does: Johnson & Johnson, Marks & Spencer, P&O, etc, but use “and” in the names of government departments and agencies: Department of Work and Pensions, Advanced Research and Invention Agency etc"
166,anaesthetic,
167,analysis,plural analyses
168,anarchism,"a political philosophy that advocates stateless societies, holding the state to be undesirable, unnecessary and harmful.

The term “anarchist” is bandied about carelessly, often used by politicians and the media to denigrate opponents of the status quo, and should be used with care; “self-styled anarchist” should be avoided altogether"
169,ancestors,precede descendants; we frequently manage to get them the wrong way round
170,and/or,This is horrible. Make your mind up and say either “and” or “or” – whichever is more appropriate. The same applies to the phrase “if and when”
171,Andalucía,
172,Anderson shelter,not Andersen
173,… And You Will Know Us By The Trail Of Dead,
174,Angkor Wat,"Angkor Wat is only one of the 100 or so temples of Angkor, albeit the best known (“wat” means temple)"
175,Anglesey,"Always also include its Welsh name, Ynys Môn, possibly in brackets at first mention. Anglesey is the name of the island; Isle of Anglesey is the name of its county, which also includes nearby Holy Island, and Ynys Môn is the name of the UK parliament and Senedd constituency that covers the same area. Ynys Môn is the Welsh name for both the island and the county"
176,"anglicise, anglophile, anglophone",
177,animals,"pronoun “it” unless gender established

Animal breeds are usually lowercase, eg gloucestershire old spot, friesian, belted galloway, shetland pony, but note English longhorn, Welsh cob, British saddleback"
178,annex,verb; annexe noun; I am going to annex the annexe for the afternoon
179,anniversaries,"first anniversary, 10th anniversary etc; not one-year anniversary, 10-year anniversary. There is no such thing as a six-month anniversary"
180,anorexic,"is not a superlative of thin. Anorexia is an illness. Like schizophrenia, it should not be used as a cheap and lazy metaphor. Anyone who thinks of using a phrase such as “positively anorexic” should think again"
181,Ansaphone,TM; use answering machine or answerphone
182,antenatal,
183,antenna,(insect) plural antennae; (radio) plural antennas
184,anti-ballistic missile treaty,
185,antichrist,
186,anticipate,"Purists say this should not be used to mean expect, but expressions like “they did not anticipate any trouble” are now normal usage"
187,anticlimax,
188,antidepressants,
189,antidisestablishmentarianism,"position adopted by those opposed to the disestablishment of the Church of England.

Not a good headline word"
190,antihero,
191,antimalarial,
192,"antipodean, antipodes",terms Australians themselves rarely use; avoid
193,"antisemitic, antisemitism",no hyphen: it does not mean “anti-Semitic”
194,antislavery,
195,antisocial,
196,anti-vaxxer,a person who is opposed to vaccinations
197,anti-war,
198,any more,Please do not say “anymore” any more
199,"ap Iorwerth, Rhun","leader of Plaid Cymru. Lowercase a, whether you include his first name or not. So: “Speaking in Cardiff, ap Iorwerth said …”"
200,apex,plural apexes
201,apostrofly,"“an insect that lands at random on the printed page, depositing an apostrophe wherever it lands” according to the Guardian’s former readers’ editor"
202,apostrophes,"used to indicate a missing letter or letters (can’t, we’d) or a possessive (David’s book).

Don’t let anyone tell you that apostrophes don’t matter and we would be better off without them. Consider these four phrases, each of which means something different: my sister’s friend’s books (refers to one sister and her friend). my sister’s friends’ books (one sister with lots of friends). my sisters’ friend’s books (more than one sister, and their friend). my sisters’ friends’ books (more than one sister, and their friends).

The possessive in words and names ending in S normally takes an apostrophe followed by a second S (Jones’s, James’s), but be guided by pronunciation and use the plural apostrophe where it helps: Mephistopheles’, Waters’, Hedges’ rather than Mephistopheles’s, Waters’s, Hedges’s.

Plural nouns that do not end in S take an apostrophe and S in the possessive: children’s games, old folk’s home, people’s republic, etc.

Phrases such as butcher’s knife, collector’s item, cow’s milk, goat’s cheese, pig’s blood, hangman’s noose, writer’s cramp, etc are treated as singular.

Use apostrophes in phrases such as two days’ time, 12 years’ imprisonment and six weeks’ holiday, where the time period (two days) modifies a noun (time), but not in nine months pregnant or three weeks old, where the time period is adverbial (modifying an adjective such as pregnant or old) – if in doubt, test with a singular such as one day’s time, one month pregnant.

Proper names that contain an apostrophe stay the same in the possessive: McDonald’s burgers may be delicious but Sainsbury’s are just as good.

Some shops use an apostrophe, wrongly, to indicate a plural (“pea’s”), but will generally omit the apostrophe when one is actually required (“new seasons asparagus”), a phenomenon sometimes referred to as the greengrocer’s (or grocer’s) apostrophe. Try to avoid this"
203,app,"an application for, typically, a mobile phone"
204,appal,"but as the former Prince of Wales might have said, it really is appalling"
205,apparatchik,
206,appeal,"In British English you appeal against a decision, verdict, etc, you do not “appeal the verdict”. After we reported on 9 June 2010 that a convicted murderer “successfully appealed the sentence”, a despairing reader wrote: “This usage seems to be occurring more and more, sometimes even in headlines. Do Guardian journalists not read the style guide?” Not all of them, evidently"
207,appendix,plural appendices
208,Apple,no longer Apple Computer
209,apples,"lc: cox’s orange pippin, golden delicious, granny smith, etc"
210,appraise,to evaluate
211,apprise,to inform
212,April Fools’ Day,"also known, less commonly nowadays, as All Fools’ Day; an individual prank, or the victim of one, is an April fool, so you might say “one of the greatest April fools was the Guardian’s San Serriffe issue of 1977 – it made April fools of all who were taken in”"
213,apropos,"Used most commonly to mean “with regard to”, it does not need a preposition, so “apropos your question ... “ But note the idiomatic “apropos of nothing ...” which means something like “changing the subject” or “incidentally”.

Used to mean “pertinent” or “relevant to”, now rather rare, you might say “the thought was apropos to this” or, even more quaintly, “the point was apropos”.

The French idiom “à propos de bottes” (“with regard to boots”), meaning without rhyme or reason, was used by, among others, George Orwell"
214,aquarium,plural aquariums
215,Arab,"Both a noun and an adjective, and the preferred adjective when referring to Arab things in general, eg Arab history, Arab traditions. Arabic usually refers to the language and literature: “the Arabic press” means newspapers written in Arabic, while “the Arab press” would include newspapers produced by Arabs in other languages.

There is no simple definition of an Arab. At an international level, the 22 members of the Arab League can safely be described as Arab countries: Algeria, Bahrain, Comoros, Djibouti, Egypt, Iraq, Jordan, Kuwait, Lebanon, Libya, Mauritania, Morocco, Oman, Palestine, Qatar, Saudi Arabia, Somalia, Sudan, Syria, Tunisia, United Arab Emirates, and Yemen. At a human level, there are substantial groups within those countries – the Berbers of north Africa and the Kurds, for example – who do not regard themselves as Arabs."
216,Arabic names,"Though Arabic has only three vowels – a, i and u – it has several consonants that have no equivalent in the Roman alphabet. For instance, there are two kinds of s, d and t. There are also two glottal sounds. This means there are dozens of ways of writing the former Libyan leader Muammar Gaddafi’s name in English, and a reasonable argument can be made for adopting almost any of them. With no standard approach to transliteration agreed by the western media, we must try to balance consistency, comprehensibility and familiarity – which often puts a strain on all three.

Typically, Arabs have at least three names. In some cases the first or second name may be the one that is most used, and this does not imply familiarity (Arabs often address foreigners politely as “Mr John” or “Dr David”). Often Arabs also have familiar names that have no connection with the names on their identity cards: a man might become known after the birth of his first son as “Abu Ahmad”, and a woman as “Umm Ahmad”, the father or mother of Ahmad (eg the Palestinian leader Ahmed Qureia is commonly known as Abu Ala).

Where a particular spelling has become widely accepted through usage we should retain it. Where an individual with links to the west has clearly adopted a particular spelling of his or her own name, we should respect that. For breaking news and stories using names for which we have no established style, we take the lead given by Reuters wire copy.

Note also that names in some parts of the Arab world have become gallicised, while others have become anglicised, eg the leading Egyptian film director Youssef Chahine uses a French spelling instead of the English transliteration, Shaheen.

Some guidelines (for use particularly where there is no established transliteration)

Some guidelines (for use particularly where there is no established transliteration)"
217,"abdul, abu and bin","These are not self-contained names, but are connected to the name that follows: abdul means “slave of … “ and so cannot correctly be used on its own. There are standard combinations, “slave of the merciful one”, “slave of the generous one”, etc, which all indicate that the person is a servant of God. In transliteration, “abd” (slave) is lowercase, eg Ahmad abd al-Rahman al-Saqqaf, except when used at the start of a name; abu (father of) and bin (son of) are similar. When they appear in the middle of a name they should be lower case and are used in combination with the following part of the name: Faisal abu Ahmad al-Saqqaf, Faisal bin Ahmad al-Saqqaf. Despite the above, some people are actually known as “Abdul”. This is more common among non-Arab Muslims. And some Arabs run “abd” or “abu” into the following word, eg the writer Abdelrahman Munif."
218,Muhammad,"Muslims consider Muhammad to be the last of God’s prophets, who delivered God’s final message. They recognise Moses and Jesus as prophets also.

The above transliteration is our style for the prophet’s name and for most Muhammads living in Arab countries, though where someone’s preferred spelling is known we respect it, eg Mohamed Al Fayed, Mohamed ElBaradei."
219,"Muhandis/Mohandes, Qadi","Be wary of names where the first word is Muhandis or Qadi: these are honorary titles, meaning engineer and judge respectively"
220,European surnames of Arabic origin,"The guidelines above do not apply in examples such as the French labour minister, Myriam El Khomri. She is French born and only has one surname, which appears on her birth certificate and passport, written in the Latin alphabet; there is no other spelling. So she should be referred to as Myriam El Khomri at first mention and El Khomri thereafter.

Similarly, the two 2016 Brussels airport suicide bombers, Ibrahim and Khalid El Bakraoui, were Belgian born. The Belgian legal system and prosecutors refer to them by the surname El Bakraoui, and we should too"
221,Arab spring,
222,Aran Island,"is off Co Donegal and the Aran Islands off Co Galway in western Ireland; the Isle of Arran is the largest island in the Firth of Clyde in Scotland. Aran sweaters, whether Irish or Scottish, come with an initial cap A"
223,arcane,esoteric; archaic antiquated
224,archbishops,"It is not normally necessary to use their formal title, which for both Anglicans and Catholics is Most Rev: so Justin Welby, the archbishop of Canterbury, at first mention, thereafter Welby or the archbishop (except in leading articles, where he is Mr Welby); Vincent Nichols, the archbishop of Westminster, on first mention, subsequently Nichols or the archbishop"
225,archdeacon,"the Ven Paul Olive, archdeacon of Farringdon, at first mention; thereafter Olive, or the archdeacon"
226,archery,"arrows are shot, rather than fired; and if they hit the centre of the target, it is a gold rather than a bullseye"
227,archetype or stereotype?,"An archetype is a perfect or typical specimen, an original model or pattern, or prototype.

A stereotype is based on simplistic generalisations about a particular group. So the matriarch in a typical Woody Allen film might be described as a stereotypical, not archetypal, Jewish mother"
228,archipelago,plural archipelagos
229,architect or designer?,"The title of architect is protected under UK law and should only be used to describe someone who is registered as such. If someone works on building design but is not registered as an architect they are most likely to be called a designer, eg Thomas Heatherwick arch-rival an arch rival would mean something different"
230,Ardoyne,"(Belfast), not “the Ardoyne”"
231,area of outstanding natural beauty (AONB),
232,"Argentina, Argentinian",
233,arguably,unarguably one of the most overused words in the language
234,argyle sweaterArmageddon,argyle sweater Armageddon
235,"armed forces, armed services","the army, the British army, the navy, but Royal Navy, Royal Air Force or RAF"
236,armed forces ranks,"Use as abbreviated below on first mention, then just surname, eg Col Tommy Smith, thereafter Smith.

Army: Gen, Lt Gen, Maj Gen, Brig, Col, Lt Col, Maj, Capt, Lt, 2Lt, OCdt, WOI, WOII, SSgt, CSgt, Sgt, CoH, L/CoH, Cpl, Bdr, L/Cpl, L/Bdr, Pte

Navy: Adm, V-Adm, R Adm, Capt, Cmdr, Lt Cmdr, Lt, SLt, Mid, OCdt, WOI, WOII, CPO, PO, LH, AB, Mne

RAF: Gp Capt, Wg Cmdr, Sqn Ldr, Flt Lt, Fg Off, Plt Off, MAcr, WO, Ft Sgt, Ch Tech, Sgt, Cpl, Jr Tech, L/Cpl, SAC, LAC, AC

Do not abbreviate: Field Marshal, Admiral of the Fleet, Commodore, Marshal of the RAF, Air Chief Marshal, Air Marshal, Air Vice-Marshal, Air Commodore"
237,Armistice Day,but the armistice
238,arms akimbo,"hands on hips, elbows out; it is surprising how often the phrase “legs akimbo” turns up in the paper, “suggesting that such a posture exists, but lacks a word to define it”, as David McKie wrote.

The radical theatre group in the BBC TV comedy series The League of Gentlemen was called Legz Akimbo"
239,army regiments,for a detailed guide to the organisation of the British army see here
240,around,"about or approximately are better, eg “about £1m” or “approximately 2,000 people”"
241,around or round?,We were driving around aimlessly all weekend; it nearly drove me round the bend
242,arranged marriages,"are a traditional and perfectly acceptable form of wedlock across southern Asia and within the Asian community in Britain; they should not be confused with forced marriages, which are arranged without the consent of one or both partners, and have been widely criticised"
